2021-04-22 14:56:24.059 [t1] DEBUG LiveLock - count: 0
2021-04-22 14:56:24.074 [t2] DEBUG LiveLock - count: 1
2021-04-22 14:56:24.090 [t2] DEBUG LiveLock - count: 2
2021-04-22 14:56:24.105 [t2] DEBUG LiveLock - count: 3
2021-04-22 14:56:24.121 [t2] DEBUG LiveLock - count: 4
2021-04-22 14:56:24.136 [t2] DEBUG LiveLock - count: 5
2021-04-22 14:56:24.151 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:24.166 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:24.182 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:24.197 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:24.213 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:24.228 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:56:24.243 [t2] DEBUG LiveLock - count: 12
2021-04-22 14:56:24.259 [t2] DEBUG LiveLock - count: 13
2021-04-22 14:56:24.274 [t2] DEBUG LiveLock - count: 14
2021-04-22 14:56:24.290 [t2] DEBUG LiveLock - count: 15
2021-04-22 14:56:24.305 [t2] DEBUG LiveLock - count: 16
2021-04-22 14:56:24.320 [t2] DEBUG LiveLock - count: 17
2021-04-22 14:56:24.336 [t2] DEBUG LiveLock - count: 18
2021-04-22 14:56:24.352 [t2] DEBUG LiveLock - count: 19
2021-04-22 14:56:24.368 [t2] DEBUG LiveLock - count: 20
2021-04-22 22:28:17.863 [main] DEBUG ReentrantLock - enter m1
2021-04-22 22:28:17.866 [main] DEBUG ReentrantLock - enter m2
2021-04-22 22:30:21.109 [main] DEBUG ReentrantLock - enter main
2021-04-22 22:30:21.111 [main] DEBUG ReentrantLock - enter m1
2021-04-22 22:30:21.111 [main] DEBUG ReentrantLock - enter m2
2021-04-22 22:30:47.367 [main] DEBUG ReentrantLock - enter main
2021-04-22 22:31:01.646 [main] DEBUG ReentrantLock - enter m1
2021-04-22 22:31:05.828 [main] DEBUG ReentrantLock - enter m2
2021-04-22 22:42:49.162 [t1] DEBUG LockInterruptibly - 尝试获得锁
2021-04-22 22:42:49.164 [t1] DEBUG LockInterruptibly - 获取到锁
2021-04-22 22:43:08.226 [t1] DEBUG LockInterruptibly - 尝试获得锁
2021-04-22 22:44:16.593 [t1] DEBUG LockInterruptibly - 尝试获得锁
2021-04-22 22:44:17.600 [main] DEBUG LockInterruptibly - 打断t1线程
2021-04-22 22:44:17.602 [t1] DEBUG LockInterruptibly - 未获取锁
2021-04-22 22:45:05.329 [t1] DEBUG LockInterruptibly - 尝试获得锁
2021-04-22 22:45:06.340 [main] DEBUG LockInterruptibly - 打断t1线程
2021-04-22 22:45:06.341 [t1] DEBUG LockInterruptibly - 未获取锁
2021-04-22 22:48:27.708 [t2] DEBUG DeadLock - lock B
2021-04-22 22:48:27.708 [t1] DEBUG DeadLock - lock A
2021-04-22 22:49:46.320 [main] DEBUG ReentrantLock - enter main
2021-04-22 22:49:46.322 [main] DEBUG ReentrantLock - enter m1
2021-04-22 22:49:46.322 [main] DEBUG ReentrantLock - enter m2
2021-04-22 22:57:01.129 [t1] DEBUG LockInterruptibly - 尝试获得锁
2021-04-22 22:57:02.148 [main] DEBUG LockInterruptibly - 打断t1线程
2021-04-22 22:57:02.149 [t1] DEBUG LockInterruptibly - 未获取锁
